,Photographer,Country,Story
1577,Katie Orlinsky,United States,"Katie Orlinsky was born and raised in New York City, USA and began her career as a photographer in 2007. "
1578,Nicolò Filippo Rosso,Italy,"Nicoló Filippo Rosso, born in Italy in 1985, is a freelance photographer living in Bogotá, Colombia. "
1579,Mark Peterson,United States,"Mark Peterson is a photographer based in New York City, USA. "
1580,Sean Davey,Australia,Sean Davey has over 20 years experience as a documentary and news photographer. 
1581,Nikita Teryoshin,Russia,"Based in Berlin, Nikita Teryoshin was raised in St. Petersburg, Russia and then moved to Dortmund, Germany where he earned a Bachelor of Arts in Photography. He describes his work as street, documentary and everyday horror.Teryoshin graduated with his first long term project ‘Hornless Heritage’ (2014 - 2019) focused on the matrix-like world of the german dairy cow industry.Between 2016 and 2020, he visited 14 Defence Fairs in 13 countries on 5 continents for insight into the global arms trade for his story, ‘Nothing Personal - the backoffice of war’. This work was supported by the VG Bildkunst and a PH Museum Grant.In September 2019, he participated in the World Press Photo Foundation’s Joop Swart Masterclass, and started the series ‘I've never been to Russia’.Teryoshin works as freelance photographer for publications such as SZ-Magazin, ZEITMagazin, GQ, 11Freunde, Der Spiegel and Stern. His personal projects have been published in VICE, Le Monde, Vrij Nederland, ZEIT Magazin, GUP Magazine, WIRED, and Süddeutsche Zeitung.His first solo exhibition took place in Strasbourg, France at La Chambre Gallery in September 2017. In 2019, Teryoshin was awarded first prize at the Miami Street Photography Festival for his ‘Nothing Personal’ series.World Press Photo Involvement:2019 Joop Swart Masterclass participant2020 Photo Contest award winning photographerNikita Teryoshin on Social Media:"
1582,Mulugeta Ayene,Ethiopia,Mulugeta Ayene is an Ethiopian photojournalist and fine art photographer living in Addis  Ababa.
1583,Tomek Kaczor,Poland,"Tomasz Kaczor has worked as a freelance photographer for over 12 years, as well as an educator and photography instructor. "
1584,Farouk Batiche,Algeria,"Farouk Batiche is a press photographer with over 20 years of experience in photojournalism, covering stories in Algeria, North African countries, and the Middle East. "
1585,Romain Laurendeau,France,"Romain Laurendeau trained in photography at ETPA in Toulouse, France and has worked on long term projects as a professional photographer in France, Senegal, Algeria and Palestinian territories and Israel.  Laurendeau was diagnosed with Keratoconus, a progressive eye disease that distorts the cornea. During these years of illness, he explored intimacy through the introspective series, ‘When Darkness is Falling’. After a corneal transplant in 2009, he decided to travel extensively to document the human condition in all of its social, economic and political aspects. For more than five years, he worked on sharing stories of young people in Algiers, Algeria. The work documents many of the underlying reasons for the protests happening in Algeria.  Laurendeau then began a project on the use and trade of drugs in the Palestinian territories and Israel; a phenomenon common to both regions with populations suffering from the full force of conflict. "
1586,Oliver Weiken,Germany,"Oliver Weiken began his career in 1996 while still a student, with the local newspaper ‘Warsteiner Anzeiger’ and then with Bongarts Sportfotografie shortly after."
1587,Sabiha Çimen,Turkey,"Sabiha Çimen was born in Istanbul, Turkey in 1986. She is a self-taught photographer, focusing on Islamic culture, portraiture and still life. "
1588,Matthew Abbott,Australia,"Matthew Abbott (1984) is a storyteller and photojournalist based in Sydney. He specializes in identifying, researching and executing in-depth long form visual stories. He believes that storytelling is most effective and powerful when it is based on a close connection to the subjects and an understanding of the stories behind the lens."
1589,Ramon Espinosa,Spain,"Spanish-born Ramon Espinosa is a staff photographer with Associated Press (AP). He started working as a freelance photographer in 1988 and covered stories in Sudan, Israel, Lebanon and the former Yugoslavia. In 1991 he joined the Spanish newspaper Diario 16 and won the Visa pour l´Image award as part of a team of four photographers representing Diario 16, before joining Spain's El País in 1994, where he stayed for six years.  In 2000, Espinosa started working with AP in Spain as a freelance photographer. He then moved to the Dominican Republic and Haiti as a Staff photographer for AP in 2005. In 2010 he won the Ciudad de Gijón award for his coverage of Haiti's earthquake, and first prize and the ‘Grand Award in Photography’ at the National Headliner Awards. In 2012, he was transferred to Cuba and continued to document everyday life in the country. His work has been published by The Guardian, The Washington Post, USA Today, TIME, and more.World Press Photo Involvement:2020 Photo Contest award-winning photographerRamon Espinosa on Social Media:"
1590,Dai Kurokawa,Japan,"Dai Kurokawa is European Pressphoto Agency’s (EPA) chief photographer and photo editor for East Africa. Kurokawa started his career as a freelance photojournalist in South East Asia and joined EPA’s Tokyo bureau in 2007. After being based in Vietnam in 2008, he moved to East Africa to head EPA’s operation there. He has spent years covering conflicts and social issues in Kenya, Somalia, South Sudan, the Democratic Republic of Congo and Burundi, among others.  His work regularly appears in major newspapers and magazines around the world. World Press Photo Involvement:2020 Photo Contest award-winning photographer Dai Kurokawa on Social Media:"
1591,Kim  Kyung-Hoon,South Korea,"Born in 1974, Kim Kyung-Hoon majored in photography at Chung-Ang University, and received a master’s degree in Photojournalism and Documentary Photography at London College of Communication. He joined Reuters in 2002. In 2019, he was one of a team of Reuters’ photography staff awarded the Pulitzer Prize for Breaking News Photography, and released a book with the title translated as ‘Guide you through photos: Hidden stories behind photographs’.World Press Photo Involvement:2020 Photo Contest award-winning photographer Kim Kyung-Hoon on Social Media:"
1592,Mark Blinch,Canada,"Mark Blinch is the team photographer for the Toronto Maple Leafs, and has photographed for National Basketball Association (NBA), Getty Images Sport, Reuters, the Canadian Press, and The Globe and Mail. "
1593,Tadas  Kazakevičius,Lithuania,"Tadas Kazakevičius is a documentary and portrait photographer based in Vilnius, Lithuania. After spending five years in the United Kingdom, Kazakevičius returned to his native Lithuania where he is particularly interested in the social aspects of the people living there. In 2019 he became a member of the international documentary photography cooperative, 'Inland Stories'.Kazakevičius’ ongoing series ‘Soon to be Gone’ was a finalist in LensCulture’s Exposure Awards 2017 and featured in The Royal Photographic Society’s 160 exhibition. In 2018, he was picked as a finalist in the ZEISS Photography Awards and the series was shown in Les Photaumnales festival in Le Quadrilatère Gallery, Beauvais, France. With his series 'Between Two Shores', Kazakevičius was one of the finalists of the LensCulture Emerging Talent Awards in 2018. The British Journal of Photography featured the series 'Soon to be Gone' in 2019, and he was one of the Leica Oskar Barnack Award 2019 finalists.World Press Photo Involvement:2020 Photo Contest award-winning photographerTadas Kazakevičius on Social Media:"
1594,Olivier Papegnies,Belgium,"Born in 1970 in Belgium, Olivier Papegnies lives and works as a photojournalist in Brussels. "
1595,Tatsiana Tkachova,Belarus,"Tatsiana Tkachova is a photographer based in Minsk, Belarus.Tkachova graduated from the Belarusian State University of Culture and Arts with a Culturology Degree in 2014, and from the Academy of Documentary Photography and Photojournalism, Fotografika, in St. Petersburg, Russia in 2016. The main focus of her projects is women, particularly the topics of gender violence, conflict and resistance.Tkachova works with Belarusian and foreign media, including Takie Dela, The Guardian, Der Spiegel Online, Ostpol, Lenta, Zviazda, and Imena.World Press Photo Involvement:2020 Photo Contest award-winning photographerTatsiana Tkachova on Social Media:"
1596,Alejandro Prieto,Mexico,"Alejandro Prieto is a professional wildlife and underwater photographer from Guadalajara, Mexico. "
1597,Antonio  Pizarro Rodriguez,Spain,"Antonio Pizarro Rodriguez, born in Seville, Spain in 1973, is a self-taught photographer who began working as a reporter for Diario 16. He worked with different local and national media, until he joined the staff of Diario de Sevilla in 1999, where he later went on to become Chief Editor of Photography."
1598,Peter Mather,Canada,"Peter Mather is a fellow in the International League of Conservation Photographers, represented by National Geographic Image Collection, and an ambassador for Panasonic Cameras."
1599,Lee-Ann  Olwage,South Africa,Lee-Ann Olwage is a visual storyteller from South Africa. 
1600,Alon Skuy,South Africa,"Alon Skuy, a photojournalist born in Johannesburg, is the chief photographer of the Sunday Times and The Times in South Africa. "
1601,Hkun Lat,Myanmar,Hkun Lat is a documentary photographer from Myanmar. 
1602,K M Asad,Bangladesh,K M Asad (1983) is a documentary photographer and photojournalist. 
1603,Ciril Jazbec,Slovenia,Ciril Jazbec (1987) is a Slovenian freelance documentary photographer.
1604,Joshua Irwandi,Indonesia,"Joshua Irwandi (1991) is a freelance documentary photographer based in Jakarta, Indonesia."
1605,Newsha Tavakolian,Iran,"Newsha Tavakolian is a self-taught photojournalist and documentary photographer, currently based in Tehran and working with Magnum Photos."
1606,Ralph Pace,United States,"Ralph Pace is a freelance underwater and environmental photographer based in Monterey, California."
1607,Aitor Garmendia,Spain,Aitor Garmendia is a photographer focused on documenting the lives of exploited and liberated non-human animals. 
1608,Zishaan A Latif,India,Zishaan A Latif (1984) is a photographer based in Mumbai and New Delhi.
1609,Roland Schmid,Switzerland,"Roland Schmid (1966) is a freelance photographer represented by 13Photo in Zurich, Switzerland."
1610,Alexey Vasilyev,Russia,"Alexey Vasilyev (1985) is a documentary photographer based in Yakutia, Russia."
1611,Vaghinak Ghazaryan,Armenia,Vaghinak Ghazaryan (1974) is an Armenian freelance photographer based in Yerevan.
1612,Jeremy Lempin,France,Jérémy Lempin is a freelance news and documentary photographer based in Versailles.
1613,Pablo Tosco,Argentina,Pablo Tosco is an Argentinian photo-video journalist focused on telling the stories of silenced people.
1614,Chris Donovan,Canada,"Chris Donovan is a documentary photographer and member of Boreal Collective currently based between Toronto and New Brunswick, Canada. "
1615,Antonio Faccilongo,Italy,Antonio Faccilongo is an Italian documentary photographer represented by Getty Reportage. 
1616,Oleg Ponomarev,Russia,"Oleg Ponomarev is a freelance photographer based in Saint Petersburg, Russia. "
1617,Luis Tato,Spain,"Luis Tato is a photojournalist based in Nairobi, Kenya."
1618,Maya Alleruzzo,United States,Maya Alleruzzo is an American photojournalist with the Associated Press based in the Middle East.
1619,Laurence Geai,France,Laurence Geai is a French photojournalist based in Paris.
1620,Ivan Macias,Mexico,Iván Macías is a photographer based in Mexico City.
1621,Karolina Jonderko,"Most of her long-term projects focus on the aftermath of loss. Having experienced loss herself, she aims to draw attention to the issues people face when dealing with it.","Jonderko holds a master's degree in Photography from the Polish National Film, Television and Theater School in Lodz."
1622,John Minchillo,United States,John Minchillo is a staff photojournalist for the Associated Press based in New York City.
1623,Ernesto Benavides,Peru,Ernesto Benavides (1978) is a Peruvian documentary photographer working primarily within South America.
1624,Nuno Andre Ferreira,Portugal,Nuno André Ferreira (1979) is a photojournalist from Leiria.
1625,Nadia Buzhan,Belarus,"Nadia Buzhan (1991) is a photojournalist from Minsk, Belarus."
1626,Evelyn Hockstein,United States,"Evelyn Hockstein is a photojournalist based in Washington, DC."
1627,Fereshteh Eslahi,Iran,Fereshteh Eslahi is a documentary photographer based in Iran.
1628,Henrik Hansson,Sweden,"Henrik Hansson (1976) is a photographer working at Fotograf Hasse Eriksson AB in Borlänge, Sweden since 1998."
1629,Tomasz Markowski,Poland,Tomasz Markowski has been a sports photographer for over 20 years. 
1630,Natalia Kepesz,Poland,"Natalia Kepesz is a polish photographer based in Berlin, Germany. "
1631,Angelos Tzortzinis,Greece,Angelos Tzortzinis is a Greek documentary photographer based in Athens. 
1632,Carlton Ward Jr.,United States,"Carlton Ward Jr. is a conservation photographer and National Geographic Explorer from Florida, United States. He uses photography to inspire appreciation and protection of his home state’s original nature and culture."
1633,Jaime Culebras,Spain,"Jaime Culebra is a reptile and amphibian researcher, and nature photographer based in Ecuador."
1634,Tatiana Nikitina,Russia,"Tatiana Nikitina is a Russian photographer, born in Moscow. Her work explores the themes of cultural tradition, ecology, and social adaptation of people with disabilities."
1635,Gabriele Galimberti,Italy,"Gabriele Galimberti is an Italian photographer based in Tuscany. He has spent the last few years working on long-term documentary photography projects around the world, some of which have become books, such as Toy Stories, My Couch Is Your Couch, The Heavens and The Ameriguns. "
1636,Alisa Martynova,Russia,"Alisa Martynova is a Russian photographer who lives and works in Florence, Italy. "
0,Amber Bracken,Canada,"Amber Bracken, a lifelong Albertan, is a freelance photojournalist based in Edmonton, Canada, who photographs primarily across western North America to better connect to the global issues in her own backyard.Her work explores intersections of race, environment, culture and decolonization, specializing in invested relationship based and historically contextualized storytelling that centers people in their own stories. Recent work has focused on the ongoing legacy of intergenerational trauma from Residential “Schools” for Cree and Metis youth, Wet'suwet'en reoccupation and land rights fights, the overrepresentation of un-housed Indigenous people displaced in their historic territories, and interrogating the impact of race in her own family."
1,Ismail Ferdous,Bangladesh,"Ismail Ferdous (1989) is a Bangladeshi photographer and filmmaker based in New York, United States, who documents social and humanitarian issues of the contemporary world.A member of Agence VU', he began to consider photography as a profession while studying business at East West University in Dhaka, Bangladesh.After the collapse of the Rana Plaza garment factory in Dhaka in 2013, one of the worst industrial disasters in Bangladesh's history that resulted in the death of more than 1,100 workers, Ferdous made a plea against the devastating effects of the “fast fashion” industry on the Bangladeshi population with his projects The Cost of Fashion and After Rana Plaza.Ferdous is the recipient of numerous awards, including photography POYi, Alexa Foundation Grant, Getty Instagram Grant, National Geographic Society Grant, NPPA, and Days Japan. He is a frequent contributor to the National Geographic Magazine.World Press Photo Involvement:2022 World Press Photo Contest winner6x6 Global Talent Program nominatorIsmail Ferdous on Social Media:"
2,Louie Palu,Canada,"Louie Palu is a photographer and filmmaker whose work has examined social political issues, such as human rights and conflict, for over 30 years - including conflict related issues in Afghanistan, Guantanamo Bay, Mexico, Ukraine, and the changing geopolitics of the Arctic. He is currently based in Washington D.C., United States, where he has covered politics for 15 years.In 2016, he was awarded a Guggenheim Foundation Fellowship and in 2019, the Arnold Newman Prize for New Directions In Portraiture.Palu's work has appeared in numerous books, exhibitions and been published widely including in Der Spiegel, El Pais, Le Figaro, National Geographic, The Globe and Mail, The Guardian, The New York Times and The Washington Post. His work is held in numerous collections such as the Museum of Fine Arts Boston and National Gallery of Art, and has been selected for numerous exhibitions including in the Smithsonian National Portrait Gallery, and the Museum of Fine Arts Houston. His films have screened at numerous festivals including the Munich and Barcelona Documentary Film Festivals.World Press Photo Involvement:2022 World Press Photo Contest winnerLouie Palu on Social Media:"
3,YaelMartínez,Mexico,"Yael Martínez is a Mexican photographer who became a Magnum Photos Nominee member in 2020, based in Taxco, Mexico. His work addresses fractured communities in his native Mexico. He often works symbolically to evoke a sense of emptiness, absence, and pain suffered by those affected by organized crime in the region.Martínez was a grantee of the Magnum Foundation in the grants: Emergency Fund and On Religion in 2016- 2017. He was a recipient of the W. Eugene Smith Grant in Humanistic Photography in 2019, a fellow of the Photography and Social Justice Program of The Magnum Foundation in 2019, and became a member of Sistema Nacional de Creadores de Arte, Mexico in 2020."
4,Vladimir Encina,Colombia,"Vladimir Encina is a photographer based in Pereira, Colombia.Encina's interest in photography began through wanting to depict social issues in his close surroundings. As someone who has been displaced by the armed conflict in his country, Encina works within small, local communities, wanting to highlight the struggles of everyday life that stem from the large social gaps that exist in his region.Encina is a photography teacher at the Fundación el Comienzo del Arcoíris, Colombia.World Press Photo Involvement:2022 World Press Photo Contest winnerVladimir Encina on Social Media:Instagram: @manitografo"
5,Abriansyah Liberto,Indonesia,"Abriansyah Liberto is an Indonesian photographer and photojournalist from Palembang, South Sumatra, Indonesia. His works focus on social and environmental issues.Liberto has received multiple awards for his work including the Indonesian National Press Award Adinegoro (2015) and Photo of the Year Anugerah at the Anugerah Pewarta Foto Indonesia (2015).In 2016, he made a collaborative book with several photographers about environmental damage due to forest and peatland fires in Indonesia, published by Tribun.His projects Mencegah Bara (2015) and Membangun Indonesia (2019) have been part of several exhibitions. In 2020, he received a photojournalist grant from the Pannafoto Institute - Workshop in learning visual storytelling.World Press Photo Involvement:2022 World Press Photo Contest winnerAbriansyah Liberto on Social Media:"
6,Isadora Romero,Ecuador,"Isadora Romero is an Ecuadorian freelance visual storyteller based in Quito, Ecuador. She is interested in social, gender, and environmental issues. Her visual essays, exploring the border between art and photojournalism, seek different approaches using various narrative tools.Romero is the co-founder of Ruda Colectiva, a collective of Latin American woman and non-binary photographers.She was selected for the Prince Claus Fund's Cultural & Artistic Response 2022, the Magnum Foundation's Photography and Social Justice Fellowship 2021, and is the winner of the Photojournalism for Peace Prize and the Ecuadorian Culture Grant in 2017, amongst others.Romero's works have been exhibited in different countries in the Americas and Europe. She has worked with media outlets and NGOs from around the world, and is a member of Women Photograph, Diversify Photo, and the Everyday Projects.World Press Photo Involvement:2023 World Press Photo Contest jury member2022 World Press Photo Contest winner2020 Joop Swart Masterclass participantRead more about Isadora Romero on Foto Féminas presents: Isadora Romero on Witness, World Press Photo's online magazine.Isadora Romero on Social Media:"
7,Anonymous ,Not Specified,Not Specified
8,Matthew Abbott,Australia,"Matthew Abbott(1984) is a storyteller and photojournalistbased in Sydney. He specializes in identifying, researching and executing in-depth long form visual stories. He believes that storytelling is most effective and powerful when it is based on a close connection to the subjects and an understanding of the stories behind the lens.Abbott has reported from across the globe, but in recent years has focused his attention on what he knows best: his homeland Australia and neighbouring countries. He regularly contributes to The New York Times, Washington Post and National Geographic. His work has been recognized through a number of prestigious awards, including winning the 2020 Deadline Club Award for Spot News, the Nikon-Walkley Australian Press Photographer of the Year and News Image of the Year 2020, the inaugural 2019 Rust Belt Biennale and the 2019 and 2018 Nikon-Walkley Journalism Award for Australian Daily Life."
9,Charinthorn Rachurutchata,Thailand,"Charinthorn Rachurutchata (1982) is a photography based visual artist who is interested in gender inequality, religious, social and political issues. She is based in Bangkok, Thailand.Throughout her career, the fundamental question of the necessity of art has underpinned Rachurutchata's work, resulting in images that are thought provoking and give a strong critical view to her audiences. She aims to raise awareness and make positive change to the social and cultural issues that are often overlooked and unheard.Rachurutchata has exhibited her work worldwide. Since 2013, she has participated in many artist in residence programs and was selected for the International Creator Residency Program 2020 at Tokyo Arts and space in Japan, The Pier2 Artist In Residency Program 2018 at The Pier2 Art Center in Taiwan, Phantasmagoria Supported Residency Program 2016 at Bogong Centre of Sound Culture in Australia, Quebec-Bangkok Artists Exchange Program 2016 at VU Photo in Canada and Fukuoka Asian Art Museum Artist in Residence Program 2013 at Fukuoka Asian Art Museum in Japan.In 2021, she won the Grant for Women Photographers ""Isolated communities: New Narratives, New Ways of Being and Living"", funded by The Prince Claus Fund Partnership Network Grant program.World Press Photo Involvement:2022 World Press Photo Contest winnerCharinthorn Rachurutchata on Social Media:"
10,Irina Werning,Argentina,"Irina Werning is a freelance photojournalist who focuses on personal long-term projects. She is based in Buenos Aires, Argentina.Werning has a bachelor's degree in economics, a master's degree in history (Buenos Aires) and a master's in photojournalism (London).She won the Ian Parry Scholarship (The Sunday Times Magazine and Getty) in 2006, the Emerging Photographer Fund - Burn Magazine (Magnum Foundation) in 2012, and a first-place Sony World Photography Award for portraiture in 2012.Werning was chosen by Time Magazine as one of the nine Argentinian photographers you need to follow in 2015 and her book Back to the Future was chosen by Time Magazine as one of the best photobooks of 2014. In 2020, she was awarded the Emergency Covid Grant (National Geographic) and a Pulitzer Reporting Grant in 2021.World Press Photo Involvement:2022 World Press Photo Contest winner"
11,Guillaume Herbaut,France,"Guillaume Herbaut, member of Agence VU’ since 2021, is a French photographer based in Paris, France.Alongside press assignments, Herbaut has dedicated himself to photographing historical places, filled with symbols and memory, including Chernobyl, Auschwitz, Nagasaki, and, more recently, the conflict in Ukraine."
12,Lalo de Almeida,Brazil,"Lalo de Almeida(1970) is a photographer based in São Paulo, Brazil. Having studied photography at the Instituto Europeo di Design in Milan, Italy, he began working as a photojournalist for small agencies covering daily news.Upon returning to Brazil, he joined the newspaper Folha de São Paulo where he worked for 27 years while producing other documentary projects including The Man and the Land concerning traditional Brazilian populations and their relationship with the environment."
13,Konstantinos Tsakalidis,Greece,"Konstantinos Tsakalidis (1986) is a freelance photojournalist based in Thessaloniki, Greece.He graduated from the Department of Informatics of Technological Educational Institute of Thessaloniki and from the Photographic Center Stereosis.Since 2013, Tsakalidis has documented issues related to the Greek crisis, including the 2015 Greek bailout referendum. In 2015-2016, he documented the route of thousands of refugees from the islands of the eastern Aegean Sea to central Europe through the Balkan countries, as well as their life in the improvised camp of Idomeni at the Greek – North Macedonia borders. In August 2021, he was assigned by Bloomberg News to cover the wildfires in Athens and Evia island.Tsakalidis is currently a co-founder member of the collective Greek photo agency SOOC Images and is a contributor for Bloomberg News in Northern Greece, covering social and political issues with a focus on Greece, Eastern Europe and Turkey.World Press Photo Involvement:2022 World Press Photo Contest winnerKonstantinos Tsakalidis on Social Media:"
14,Nanna Heitmann,Germany,"RussiaNanna Heitmann (1994) is a documentary photographer, currently based in Moscow, Russia. Her works often deal with issues of isolation - physical, social and spiritual - as well as the very nature of how people react to and interact with their environments.She has received awards that include the Leica Oskar Barnack Newcomer Award and the Ian Parry Award of Achievement, and was listed on The 30: New and Emerging Photographers to Watch 2020.Heitmann's work has been published among others by National Geographic, TIME Magazine, M Le Magazine du Monde and De Volkskrant, and she has worked on assignments for outlets including The New York Times, TIME Magazine, The Washington Post and die Zeit. She is an associate member of Magnum Photos."
15,Faiz Abubakr Mohamed,Sudan,"Faiz Abubakr Mohamed is a photographer based in Khartoum, Sudan.He has a bachelor's degree in public relations from the Sudan University of Science and Technology.With this photography, Faiz Abubakr Mohamed has participated in exhibitions both in Sudan and internationally - in India, Romania, Egypt and The United Arab Emirates. His work has been shown in The New York Times and he is a member of the African Photojournalism Database, a directory of emerging and professional African visual journalists established by the World Press Photo Foundation and Everyday Africa.World Press Photo Involvement:2022 World Press Photo Contest winnerFaiz Abubakr Mohamed on Social Media:Instagram: @faizabubak"
16,Jonas Bendiksen,Norway,"Jonas Bendiksen(1977) began his career at the age of 19 as an intern at Magnum Photos’ London office, before leaving for Russia to pursue his own work as a photographer.Throughout the several years he spent there, Bendiksen photographed themes from the fringes of the former Soviet Union–a project that was published as the book Satellites (2006). Across his body of work, Bendiksen often focuses on people and communities forming isolated enclaves, which he continued to explore in The Places We Live."
17,Rijasolo ,Madagascar,"FranceRijasolo is a photojournalist and photographer born in France, currently based in Antananarivo, Madagascar-the country of his roots.Stemming from a trip to Madagascar in 2004, Rijasolo began his project MIVERINA, which strove to show how difficult it was to regain an intimate relationship with Madagascar. This work was exhibited around the world including at LagosPhoto Festival, Angkor Photo Festival and Addis Foto Fest. In 2005, he was selected for Rencontres Africaines de la Photographie biennial in Bamako, Mali, which drove him to become a full-time photographer.Rijasolo has collaborated with newspapers and magazines including Libération, Le Monde, Paris Match and Jeune Afrique. He was awarded 1st prize in Leica's LFI 35mm Wide Angle Competition in 2010.In 2011, Rijasolo decided to move to Madagascar where he focuses on reportage and corporate projects. Since 2012, he has been a photographer for AFP. In 2013, he received a grant from the Pulitzer Center on Crisis Reporting. The same year, he published his first photobook Madagascar, nocturnes about nightlife in Madagascar. In 2019, he was a finalist at the Contemporary African Photography Prize and the same year, he won the Malagasy contemporary art prize, PARITANA.Rijasolo is a member of the African Photojournalism Database, a directory of emerging and professional African visual journalists established by the World Press Photo Foundation and Everyday Africa."
18,Rehab Eldalil,Egypt,"Rehab Eldalil is a documentary photographer and visual storyteller born and currently based in Cairo, Egypt. Her work focuses on the broad theme of identity, explored through participatory creative practices.In 2011, Eldalil received a photography BA from Helwan University, Cairo. Whilst graduating, she participated in the 25 January Egyptian Revolution, for which she co-authored a photobook, The Road To Tahrir, documenting the revolution's early weeks.In addition to developing personal long-term projects, Eldalil works with NGOs and publications, documenting human rights issues in Egypt. During her time teaching photography at the American University in Cairo between 2013 and 2015, she began her research on collaborative lens based approaches and representation in visual storytelling.Eldalil received her photography MA from Falmouth University, United Kingdom in 2020.In 2021, she received a one year certificate in documentary photography from The International Center of Photography, United States and the following year, she received the Fotoevidence W Award 2022 to publish her long-term project The Longing Of The Stranger Whose Path Has Been Broken in a book form.Reconnecting to her Bedouin ancestry, Eldalil co-founded Catherine Exists - a volunteer-based community center that empowers Bedouin communities in South Sinai, Egypt and provides medical services.Eldalil is a member of the African Photojournalism Database, a directory of emerging and professional African visual journalists established by the World Press Photo Foundation and Everyday Africa.World Press Photo Involvement:2022 World Press Photo Contest winnerSee Rehab Eldalil's From the Shadows' as part of Four to Follow #14 on Witness, World Press Photo's online magazine.Rehab Eldalil on Social Media:Instagram: @rehabeldalil"
19,Fatima Shbair,Palestine,"Fatima Shbair (1997) is a Palestinian photojournalist based in Gaza City, Palestine. She is a self-taught photographer who has an interest in documenting people's stories, cultures, and social issues.After studying business administration for three years at Al-Azhar University in Gaza, Shbair switched to study journalism and began concentrating on photojournalism in 2019 through independent study and working in the field.In 2020, Shbair began to receive assignments from several international agencies, including Getty Images and The New York Times, to cover her hometown as tensions continued between Israel and Palestine. Her assignments increased in 2021 but came with the challenge of working during a global pandemic, which also strained and ravaged her own community. Shbair is currently a contributor to Everyday Middle East and continues her work with Getty Images. Her work has been exhibited in Palestine, the UAE, London, and Paris.World Press Photo Involvement:2022 World Press Photo Contest winnerFatima Shbair on Social Media:Instagram: @fatimashbair"
20,Bram Janssen,The Netherlands,"Bram Janssen is a visual journalist based in Amsterdam, the Netherlands. His work has a strong focus on humanitarian issues, documenting the impact of conflict, corruption, and international politics on everyday life.After freelancing for many years, Janssen joined The Associated Press full time in 2014, after which he moved to Irbil, Iraq and covered the war against the Islamic State for almost four years. He is now a member of the Global Enterprise team, covering long-term projects in Europe, the Middle East, and Africa.World Press Photo Involvement:2022 World Press Photo Contest winnerBram Janssen on Social Media:"
21,Senthil Kumaran,India,"Senthil Kumaran is a documentary photographer and National Geographic Explorer from Madurai, South India.For over a decade, Kumaran has been working on various wildlife and conservation projects, highlighting in particular the issues surrounding the human-animal conflict. He documented the human-tiger conflict, emphasizing tiger conservation and the livelihood issues of the people who live around the tiger reserves. Currently, he is working on human-elephant coexistence issues and their mitigation measures in South India, particularly crop-raiding elephants' behavioral changes and survival challenges in human-dominated landscapes. Recently, he has documented the tribes who tame wild elephants in the Western Ghats, India.Kumaran is also working on a research project that covers the extinction of the coral reefs and erosion of the small islands surrounding the Gulf of Mannar Biosphere.In 2014, Kumaran received a Hope Françoise Demulder Grant for his documentary on the illegal animal trade in Cambodia’s grey market. In addition, he has won more than 15 international awards including Pictures of the Year International, Geographical Photographer of the Year, Istanbul Photo Awards and Emerging Explorer Award from the National Geographic Society.Kumaran’s photographs have been published in National Geographic, News Week and BBC.World Press Photo Involvement:2022 World Press Photo Contest winner2020 6x6 Global Talent Program nominator2019 6x6 Asia TalentSenthil Kumaran on Social Media:"
22,Sodiq Adelakun Adekola,Nigeria,"Sodiq Adelakun Adekola is a photo and video journalist currently based in Abuja, Nigeria.He is a graduate of the Nigerian Institute of Journalism, the University of Ibadan and the School of Media and Communication - Pan-Atlantic University, where he gained qualifications in photojournalism, psychology and advanced writing and reporting skills respectively.Through his work, Adelakun Adekola aims to expose injustice in his immediate environment and society at large. His work centers around human rights abuse, social exclusion, news, and documentary stories, with special attention on the rights of children and women.He is a stringer for Agence France-Presse,a photo editor for Channels – the Nigerian televison station, and a former photojournalist at the Punch Newspapers, Nigeria. His works have been featured in international journals including The New York Times, The Washington Post, CNN, BBC, Getty Images, TIME, Bloomberg, and The Telegraph.Adelakun Adekola is a member of the African Photojournalism Database, a directory of emerging and professional African visual journalists established by the World Press Photo Foundation and Everyday Africa.World Press Photo Involvement:2022 World Press Photo Contest winnerSee Sodiq Adelakun Adekola's 'The Electorate' as part of Four to Follow #13 on Witness, World Press Photo's online magazine.Sodiq Adelakun Adekola on Social Media:Instagram: @sodiqadelakun"
23,Kosuke Okahara,Japan,"Kosuke Okahara (1980) is a documentary photographer based in Kyoto, Japan.Having grown up in Tokyo, Okahara started his career as a photographer after graduating from Waseda University, Tokyo, with a degree in education.In 2004, he began pursuing stories based on ‘Ibasyo,’ which, in Japanese, refers to the physical and emotional space in which one can exist – winning the W.Eugene Smith Fellowship in 2010 for the long-term project, ‘Ibasyo,’ about Japanese girls who self-harm.He has received several other awards and grants including Getty Images Grants for Editorial Photography, Prix Kodak, and The Pierre & Alexandra Boulat Grant.Okahara is represented by Polka Galerie, Paris and Only Photography, Berlin. His work has been exhibited in various venues including museums, galleries and international photo festivals, such as Kunsthal in Rotterdam, Deichtorhallen in Hamburg, Musée du Quai Branly – Jacques Chirac in Paris, CO Berlin, Tokyo Photographic Art Museums, Paris Photo, AIPAD, and Kyotographie in Kyoto.He has published six monographs and several art books.In 2020, as a return to his community where he grew up, he started organizing PITCH GRANT, an annual grant for lens-based emerging artists in which artists present their works in front of audiences and audiences vote for the 2 winning projects."
